ID,书名,密码,链接
6184,《有些事现在不做，一辈子都不会做了（套装共5册）》,百度网盘密码：x369     ,"{'百度网盘': 'http://pan.baidu.com/s/1mhIObEw', 'EPUB格式': 'http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_9AF2E45F8323C1AC0D9F1C4CF6403455A154F9FE7AE1ABE4FAD914896D303D482AA82ED0E92433C24709164562F8F7CC6D42F27A2E8E3112A156E7A4F1B9B10C365B3BAA2E3CEE1917B8F036C91B05FA210B8FAEFED6E8F64E643728B27A0FE443E19C1FE65F11CADF79271341E3B092196CF2CABC35D3455C6BFBA571E8B8034D285C61', 'MOBI格式': 'http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_A920502EFB306365869C020CBA860FFB82054BA1064049355F05BABC78B735FF363A7A8095690DEF49E227CD3BA647AA3258550E8BF5F80BE9FA320EBFE6124F8594E899DFC4FA35909065BCFE256ED786082E4EB974F84CD31272F406534D4DEB770D57082885EA8E4E26462F069647A0A16AC351BBDE740BF9913874A200F5DADBFDDD', None: 'http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_9E6952C57C20D9992487941E7A89DAEE7E679E14F7298D7AE54097B3E99B448F6B8336A8785F3392EC2036908E4CEA4577F948F9FAC90D2D47A020470725006E21703D92169E9810FC48A22C25EABF8CCDD392EF70D2AE12F86F8E060791B275714A9E52E34D3ABB280E15B6B5F3C35E913B324B4B4D820A966455D7245A170B090BECDA'}"
2696,《那些年我们一起读过的文学经典（套装共11册）》,百度网盘密码：dn56     ,{'百度网盘': 'http://pan.baidu.com/s/1qXJr6Qo'}
1615,《搜异者作品四本》,百度网盘密码：4iq7     ,{'百度网盘': 'http://pan.baidu.com/s/1hsAZ94o'}
548,《解密》,百度网盘密码：k9vx     ,{'百度网盘': 'http://pan.baidu.com/s/1nuHsZIL'}
4794,《七龙珠》,百度网盘密码：ezc7     ,{'百度网盘': 'http://pan.baidu.com/s/1bp5NKHT'}
536,《人性的枷锁》,百度网盘密码：ets3     ,{'百度网盘': 'http://pan.baidu.com/s/1slkqZa1'}
1988,《闪灵》,百度网盘密码：zfdd     ,{'百度网盘': 'http://pan.baidu.com/s/1i5yg6eL'}
15129,《字里行间图文馆:失乐园(汉英对照)》,百度网盘密码：nlrc     ,"{'百度网盘': 'http://pan.baidu.com/s/1qY2m7Q8', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500040816202&sk=FD5D0BEDAB27BACAC203D383E577659E&ufi=3149021585939539&token=cloud3&sig=mI%2F3yPRpK8MxjCWWh4Jg1Vroydg%3D', None: 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500040816210&sk=FD5D0BEDAB27BACAC203D383E577659E&ufi=3149821585932551&token=cloud3&sig=qVBlCJeF%2BkuVxkdxasWRareNwFQ%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500040816193&sk=FD5D0BEDAB27BACAC203D383E577659E&ufi=1149121884812512&token=cloud3&sig=WDJokHWpNfQ0F0HF6cxXvmlzfHs%3D'}"
1850,《大动乱的年代:1949-1976年的中国》,百度网盘密码：33w8     ,{'百度网盘': 'http://pan.baidu.com/s/1dFyYBHf'}
410,《别和她说话》,百度网盘密码：pe5i     ,{'百度网盘': 'http://pan.baidu.com/s/1cbYc1o'}
270,二月河帝王系列,百度网盘密码：5fsq     ,"{'百度网盘': 'http://pan.baidu.com/s/1mhRbsYc', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=51&expired=1493533218502&sk=c3e392bf-88e0-488b-b623-bc96f9393f36_app&ufi=7151621359335552&token=cloud16&sig=WG2JOFG0IX2x3ZTpom0toMm7clU%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=51&expired=1493533218496&sk=c3e392bf-88e0-488b-b623-bc96f9393f36_app&ufi=1149821656784048&token=cloud15&sig=xa2lkYHrWHzDGj62W3%2BnLxhqD1M%3D'}"
3387,《向着光亮那方:谁的青春不迷茫系列》,百度网盘密码：tm5m     ,{'百度网盘': 'http://pan.baidu.com/s/1jH5ruD4'}
510,《司马懿吃三国1-5》,百度网盘密码：9svs     ,{'百度网盘': 'http://pan.baidu.com/s/1c2DhLlA'}
1127,《1855美国大亨》【全本】,百度网盘密码：tbsj     ,{'百度网盘': 'http://pan.baidu.com/s/1o8EkzTw'}
2225,《午夜将至:核战边缘的肯尼迪、赫鲁晓夫与卡斯特罗》,百度网盘密码：aj96     ,{'百度网盘': 'http://pan.baidu.com/s/1eRIVwCa'}
5729,《驱魔人:40周年精装纪念版》,百度网盘密码：xtoo     ,"{'百度网盘': 'http://pan.baidu.com/s/1qYhca2C', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=51&expired=1491577522530&sk=3aa15fae-f706-4c9b-a29a-122fdfdf81f6_app&ufi=2147111314730642&token=cloud16&sig=pU%2FR%2FrEhqFi5oTUmywefLFQBpq8%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=51&expired=1491577522524&sk=3aa15fae-f706-4c9b-a29a-122fdfdf81f6_app&ufi=7149121313952957&token=cloud4&sig=DueDz%2BdQ5y8Wcaz9753xLoXDfcU%3D', None: 'http://download.cloud.189.cn/file/downloadFile.action?dt=51&expired=1491577522535&sk=3aa15fae-f706-4c9b-a29a-122fdfdf81f6_app&ufi=7149121313952803&token=cloud14&sig=SLf9L3QKX23pk1E5TjBrzbwZHFo%3D'}"
4552,《知北游》,百度网盘密码：3p8a     360网盘密码：adec     ,{'百度网盘': 'http://pan.baidu.com/s/1nvvtBnz'}
3503,《东京梦华录》,百度网盘密码：j8v2     ,{'百度网盘': 'https://pan.baidu.com/s/1qYMW0lm'}
169,古龙+金庸全集下载,百度网盘密码：93dq     ,{'百度网盘': 'http://pan.baidu.com/s/1mivWsmG'}
3142,《安塔拉传奇(共10册) 》,百度网盘密码：ftqc     ,{'百度网盘': 'https://pan.baidu.com/s/1cEBcZG'}
3139,《纪伯伦大全集名家译著经典套装（全七册）》,百度网盘密码：fvuk     ,{'百度网盘': 'https://pan.baidu.com/s/1sljEv73'}
3019,《中国史话·近代经济生活系列（套装18册）》,百度网盘密码：yuim     ,{'百度网盘': 'https://pan.baidu.com/s/1hrQZHlE'}
1530,《亦舒作品集全集（290本）》,百度网盘密码：dx6d     ,"{'百度网盘': 'http://pan.baidu.com/s/1dFhBLst', None: 'https://page71.ctfile.com/fs/11851471-211656678'}"
2756,《管理大师德鲁克经典收藏版（包含《卓有成效的管理者》《管理的实践》等，全套23册）》,百度网盘密码：ed1j     ,{'百度网盘': 'http://pan.baidu.com/s/1dEU3yb3'}
9769,《射雕英雄传（繁体精制，明河版，初版）》,百度网盘密码：09s1     ,"{'百度网盘': 'http://pan.baidu.com/s/1eSqu5bG', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500628825680&sk=24578ED11A6242943B095C80BF002EEF&ufi=6130951305367807&token=cloud14&sig=K9Fxe11yMVSYxeH1P8w3Jv9MyTk%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500628825662&sk=FD5D0BEDAB27BACAC203D383E577659E&ufi=7154321323282435&token=cloud3&sig=cRNVMb8FA%2BmsWvl9ulCfpGM%2B2wg%3D'}"
2267,《资本的内部:全球化的哲学理论》,百度网盘密码：bm1a     ,{'百度网盘': 'http://pan.baidu.com/s/1o86eiaI'}
4227,《十大官场小说推荐系列（单本分册：18册全）》,百度网盘密码：grfq     ,"{'百度网盘': 'http://pan.baidu.com/s/1hsf1zPa', '普通下载': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498847064431&sk=24578ED11A6242943B095C80BF002EEF&ufi=4152221556115072&token=cloud14&sig=Jks3eDdw%2F42CKZNg6C8xW2isMZg%3D'}"
6138,《殉罪者》,百度网盘密码：foxu     ,"{'百度网盘': 'http://pan.baidu.com/s/1boPRYz1', 'EPUB格式': 'http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_01B0058CDCDF6236716F6927D0FA721FF50B348249C9CF6DFFC5FA0FBFA61AEA67E059A1D084C868039B69409FF2495931B94147C431F7EEAC76CCB0FB259631A717AE957FB2DCABFE8B243A877E8B5E1EF4E10C496D2A6D0C07668D1FA5290499535AA71BC513F570E2FB1D7F0498B7635F355505BE9E359D4DC76839A42561BDB5DBDA', 'MOBI格式': 'http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_BE396E2B038D2E8A82E3BA16240A210AF0DDE674EA57356DE2A69545964523553BFAE8CEA7987A5FDF61380D91F2264D129140DFD7A90368E56CF544613E77CD8098C35AC6A4A426F8914B6A7AB48BD20C9459EF66B923DA67801679FCE8E0775F6BEF8362713ACE8B26164A2D9B4AE8D9D8B084E4B1F0FAAEC709E44D90A111E1416774', None: 'http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_BC2E7587D82A4590251C1F167E646FB2FF6F28FA6D4CB9A31AA0E945B6F22A47C2FE953BFB68F17557D3D026B3DCB87C1D5FBCEADE28EBCC9D3B0094B9BB8B5E2792642987728C8BD7F51AB49C159A57ED760386ABE2BAE17195B371DC9A33F765499E475B84D9A67BF600965968E98CE270656A4508069781FAB3C543DF3409CCDA54A5'}"
5011,《鱼羊野史·第6卷》,百度网盘密码：vg97     ,"{'百度网盘': 'http://pan.baidu.com/s/1o8jgRmM', 'EPUB格式': 'http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_35E8088B6D760A23D8BAE379F08209AA8A823B8D91F83AD0E7C4F72F0D04C864F98EFE00B8A82CBCA7AAB0D8F7FD02911F1C1990C0B5E92899288E44E5A56142E92C4C6D4BEDEEE522805541353E857DF9DBB4BAE92F3E90B1CF51B437D8C96DB9BF85256B21993F1434DD60543B73194E120B7CBE1649A0A1D6103900792E19C7CCAEA6', 'MOBI格式': 'http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_2D3E94BD07B8027F990EDCCD12D6BBFDDA75DACF44B20BC4CB266865D970D3A4AF487BD4564D44A68804E1839BF5FC248F9E476DF92E9DB655425FEFE3B125997B8CBCEE0B8D3BD21D8E7344217684A7178F3580CA299435EA0607C52C5EDB759B49CC8666719709C64ED41ADB7F19C35B00B52A5150250B39950977B68966B60AA2C976', None: 'http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_4E6715628B5B138F8C27D29428B33EF613E319DFE43E17780F9FBBDD2A61F2EB450E05059C945D06B3C1EAD9B9045CEAF64A9FB6FD22955A49861C81B7D8C93885C9636840C9F7F1F993A93424649DF7A9F037BEE1A427BC42B0F304B78C94C071BFC4674527E48EB858A7074AE35D56A1368247A4C5A32E68C0AE8C1FFE4D8AE50E0528'}"
3703,《梦的解析:在梦境中认识真实的自我》,百度网盘密码：vssr     ,{'百度网盘': 'https://pan.baidu.com/s/1gf6tZR9'}
3379,《读者200期合订本（1981~1997）》,百度网盘密码：yapd     ,{'百度网盘': 'https://pan.baidu.com/s/1nu9oY3B'}
1071,《货币简史》,百度网盘密码：w8qp     ,{'百度网盘': 'http://pan.baidu.com/s/1bW9602'}
10182,《中国古典诗词精品赏读（第二辑·套装共8本）》,百度网盘密码：zyz2     ,"{'百度网盘': 'http://pan.baidu.com/s/1c1Bchf6', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498484958588&sk=4650ECCB3BBC9AEC9B9FBD08FAFC6D78&ufi=8149821348289441&token=cloud4&sig=1dy8ZSWJ0sgbF1ya%2B5ERGw1Y2Nc%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498484958582&sk=4650ECCB3BBC9AEC9B9FBD08FAFC6D78&ufi=6139421326211993&token=cloud4&sig=j53MyHAOtMmNdPtd19PjpZjiYfE%3D', None: 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498484958593&sk=4650ECCB3BBC9AEC9B9FBD08FAFC6D78&ufi=6139421326211388&token=cloud4&sig=Lk2dFeWSU%2FXp479pFzJq%2FijEn3E%3D'}"
3164,《谍影重重三部曲》,百度网盘密码：y88q     ,{'百度网盘': 'https://pan.baidu.com/s/1kUQnPuZ'}
5673,《泡沫之夏（单本分册，全三册）》,百度网盘密码：8ynr     ,"{'百度网盘': 'http://pan.baidu.com/s/1c2A6Clq', '普通下载': 'http://mebook1-1251531420.cosgz.myqcloud.com/yishu11/11.5/%E6%B3%A1%E6%B2%AB%E4%B9%8B%E5%A4%8F%EF%BC%9A%E5%85%A8%E4%B8%89%E5%86%8C%EF%BC%88%E5%8E%9F%E7%89%88%E5%8D%95%E5%86%8C%EF%BC%89%E3%80%90mebook.cc%E3%80%91.zip'}"
1469,《穿越恐怖之都:索马里行纪》,百度网盘密码：t4b9     ,{'百度网盘': 'http://pan.baidu.com/s/1nvgwQY9'}
11317,《新中国生活图史(1949-2009) (FOTOE小黑书纪实经典)》,百度网盘密码：13jz     ,"{'百度网盘': 'http://pan.baidu.com/s/1gfzIOZh', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499021240149&sk=98A6737B325C52C84D55218BF66D57AA&ufi=5149021413762007&token=cloud15&sig=5bfKVQlPYSs8YogAdVuykV9xfx8%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499021240142&sk=6065D28083473231C78F3884E226D7DC&ufi=7152621409715320&token=cloud16&sig=0yef8aQ0s3Z3xSJJTHCl9hqrYMU%3D', None: 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499021240174&sk=24578ED11A6242943B095C80BF002EEF&ufi=5149721413729937&token=cloud14&sig=1DGoEFiLzZTtufct6mB2FD9LiGU%3D'}"
12899,《纳粹医生》,百度网盘密码：68aq     ,"{'百度网盘': 'http://pan.baidu.com/s/1o8e7NnW', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498812086902&sk=24578ED11A6242943B095C80BF002EEF&ufi=9149021487610990&token=cloud14&sig=pSpXghQNIBChnLnZebZVASMwp9c%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498812086917&sk=6065D28083473231C78F3884E226D7DC&ufi=7130531488999898&token=cloud16&sig=BwEt6EVEDMW02BBwAlTLkYIQyh0%3D', None: 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498812086910&sk=4650ECCB3BBC9AEC9B9FBD08FAFC6D78&ufi=9152221487563720&token=cloud4&sig=w7Up8iuJo%2BcwWBN%2BVRGlE%2Bn3FHc%3D'}"
5523,《行过死荫之地》,百度网盘密码：sidy     ,"{'百度网盘': 'http://pan.baidu.com/s/1o8CTTGI', '普通下载': 'http://mebook1-1251531420.cosgz.myqcloud.com/yishu11/11.2/%E8%A1%8C%E8%BF%87%E6%AD%BB%E8%8D%AB%E4%B9%8B%E5%9C%B0%E3%80%90mebook.cc%E3%80%91.zip'}"
6321,《朱镕基答记者问》,百度网盘密码：ejks     天翼云盘密码：2201,"{'百度网盘': 'http://pan.baidu.com/s/1bTsbsq', 'EPUB格式': 'http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_CA82EC2215600F66F89F25F47A60170C5DC0FD6CA9A1ADCB3B82E343942A260F3BBEB3BE55C7C6D2E79996E8B5FA7E2C46300BB067E805A699ABAFA8B3DEA72E6FC123ECCFD91AFCE750C5B47FF78FACBA04152B5BD3C17DD2192F35725FA9A0B0A49FD7AFC01243B4B1A8D7C7E61050C1AA7EA3740D2B8BB6D57339C3C8321D1F8F485D', None: 'http://cloud.189.cn/t/IvmyEfqEvABb'}"
6255,《北洋觉梦录·袁世凯卷》,百度网盘密码：bs9a     天翼云盘密码：8892,"{'百度网盘': 'http://pan.baidu.com/s/1i4PFUJV', 'EPUB格式': 'http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_E392E435C9D2F3C36CBD7C5A1AE17006AE9892D82CF2768628FA65ECBEB124353A5988B742A16759F47479D921D203B8FE2FFCDFF5787A4E8A3A71AC1596ED98C5A4CBF8588601AB14EB81FADA233A3DC5EA3653353AE8CBE613D775796B6A52F8E9239E0D7D7E6D26C785741553057DC39D5C8A0541A55E2847C6A6FE8E35BFAA70377B', 'MOBI格式': 'http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_4A16D3BCC3EF61609C0CC1BAAF79342494BE7AA6CD637E33F049AAA589F6BCDB66CAE899F0588A3F006DDAA7EC0FB85C42C5CE43047E87B71BC7B3EA63EB0E216DD9D95451B61CD63F10B0E6BD10BDED8440EFB8368ED9EEBF5A5EA2258732C18B47B7E1B9560EDD95C81E3F72DD3F93926E3F8414FFC000CDD6315BDE3C261855767FC7', None: 'http://cloud.189.cn/t/EvQZRzR7f6Br'}"
3471,《普罗旺斯的一年》,百度网盘密码：1ndc     ,{'百度网盘': 'http://pan.baidu.com/s/1i4OquNz'}
5195,《理由》,百度网盘密码：3sve     ,{'百度网盘': 'http://pan.baidu.com/s/1pLlhdEV'}
1733,《狼群》,百度网盘密码： vfnk     ,{'百度网盘': 'http://pan.baidu.com/s/1bpoPfm3'}
12370,《北极光诗系·经典译丛（套装共8本）》,百度网盘密码：69ub     ,"{'百度网盘': 'http://pan.baidu.com/s/1i4551RZ', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500383830451&sk=6065D28083473231C78F3884E226D7DC&ufi=5149021463786268&token=cloud16&sig=qPwBxgCvxn%2BVBi%2FMrTJxa%2BbSEGQ%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500383830435&sk=98A6737B325C52C84D55218BF66D57AA&ufi=8149821462902040&token=cloud15&sig=gUPw6%2B1JB4xUrRv9uyUGD9JQb1I%3D', None: 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500383830443&sk=24578ED11A6242943B095C80BF002EEF&ufi=5149021463786284&token=cloud14&sig=FcWvHEyr%2BiLm0EWDP75YyxqQRh8%3D'}"
11253,"《美国总统演说系列（中英文对照,套装共6册）》",百度网盘密码：crpq     ,"{'百度网盘': 'http://pan.baidu.com/s/1c2KhEFI', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499020291403&sk=98A6737B325C52C84D55218BF66D57AA&ufi=3152611406067914&token=cloud15&sig=tss6d5AYIh%2B%2BGEm%2BZDPao1dTBG8%3D', None: 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499020291410&sk=FD5D0BEDAB27BACAC203D383E577659E&ufi=1152621703646278&token=cloud3&sig=RjBO4ZaRxrL%2Frg5inSLOHUdJPwA%3D'}"
3559,《比利战争》,百度网盘密码：vdv6     ,{'百度网盘': 'http://pan.baidu.com/s/1bTUwFG'}
11139,《青铜市长》,百度网盘密码：mbr5     ,"{'百度网盘': 'http://pan.baidu.com/s/1qXUsiE4', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499019050580&sk=6065D28083473231C78F3884E226D7DC&ufi=6152721384093768&token=cloud16&sig=taSoI2tymeCAQS6QUMNaGUtDja0%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499019050570&sk=6065D28083473231C78F3884E226D7DC&ufi=5152751406240621&token=cloud16&sig=aFOhESEdZ0PAsrsDZF%2FDK1q581w%3D', None: 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499019050599&sk=FD5D0BEDAB27BACAC203D383E577659E&ufi=5152751406240593&token=cloud3&sig=SFk5exUbpvoMaCkbc9KyI23TiIk%3D'}"
6938,《王妃归来》,百度网盘密码：0a1s     天翼云盘密码：3226,"{'百度网盘': 'http://pan.baidu.com/s/1c1VqYys', 'EPUB格式': 'http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_B6DC58E16632CDA4C89346C3A14554293116FD0EBAA8C785CDE4F2A1537AFD0E76A345CBC35BBC531BAF8D345030D862CA6879E11AD213053AE09B010622CBA56C5B92992941EE39237EEC6D3E4BAF36A20124FD7DF6060AC7ECB725B52F89E0EACC764BD5BF1AD8A99E9A93B4B98A84017F9438031471767F84EB1D0E543C03B0DA0F61', 'MOBI格式': 'http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_E48D7F6D616E258415F702EC9699D15E892653DF4C0CADA085A5B2D5F2CDE9DBF6955FCC33E5B8339844AA6CF2B6909AD8B240486036452F5F2A1F5ACE6CD225D93CD5A505BA5D79E71E4BFE641E91E86425FFAC42A4D985398E8B5FE45BF2768166FD97AE9984B28E1F9DCB851A7B60E9838AEF47C0EBB87E67046229CDD3067C00BBDD', None: 'http://cloud.189.cn/t/yMZjIj2ARZ7z'}"
3612,《发条女孩》,百度网盘密码：n1s4     ,{'百度网盘': 'https://pan.baidu.com/s/1i5uK6dJ'}
1419,《大宋帝国三百年》,百度网盘密码：yef5     ,{'百度网盘': 'http://pan.baidu.com/s/1i513EQT'}
6028,《女性巅峰系列（全四册）》,百度网盘密码：nayj     天翼云盘密码：1168,"{'百度网盘': 'http://pan.baidu.com/s/1hszOdrm', None: 'http://cloud.189.cn/t/IziEzejYrQnm'}"
4844,《波西·杰克逊奥林匹斯英雄系列（5册合集）》,百度网盘密码：y2x2     ,"{'百度网盘': 'http://pan.baidu.com/s/1sle29Y1', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500376480800&sk=6065D28083473231C78F3884E226D7DC&ufi=2147111532864804&token=cloud16&sig=p1bE4zZHq0BTRjhegHTTmV0pWeY%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500376480807&sk=4650ECCB3BBC9AEC9B9FBD08FAFC6D78&ufi=5132321536054424&token=cloud4&sig=VuvPO%2B1CNWfD93X9LNpmlYxrufQ%3D', None: 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500376480793&sk=24578ED11A6242943B095C80BF002EEF&ufi=2147111532864800&token=cloud14&sig=JO9C5fQf5Adr%2B6S4PyLfvk6Vz%2BY%3D'}"
3621,《沉默的羔羊》,百度网盘密码：12ss     ,"{'百度网盘': 'http://pan.baidu.com/s/1kUFEoKn', None: 'https://page71.ctfile.com/dir/11851471-23025764-16b227/'}"
659,《清明上河图密码》,百度网盘密码：2h5n     ,{'百度网盘': 'http://pan.baidu.com/s/1eSob01G'}
1749,《良辰讵可待》,百度网盘密码： gpwz     ,{'百度网盘': 'http://pan.baidu.com/s/1hsoERGS'}
2391,《血色浪漫》,百度网盘密码：r96c     ,{'百度网盘': 'http://pan.baidu.com/s/1bpaCBSj'}
1966,《风姿物语》,百度网盘密码：qdit     ,{'百度网盘': 'http://pan.baidu.com/s/1i5Q6LH7'}
1812,《奥术神座》,百度网盘密码：cp6a     ,{'百度网盘': 'http://pan.baidu.com/s/1dEB513F'}
