ID,书名,密码,Pass,链接
12374,《霍布斯鲍姆年代四部曲（套装共4部）》,百度网盘密码：725r     ,{'百度网盘密码': '725r'},"{'AZW3格式(推荐)': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500384123370&sk=24578ED11A6242943B095C80BF002EEF&ufi=9149821456824330&token=cloud14&sig=3UBOI5Lb2uhGF1KVxJ6geE7Mof4%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500384123385&sk=FD5D0BEDAB27BACAC203D383E577659E&ufi=9149821456824070&token=cloud3&sig=6Jjp1LPN7UEJexzWMxq%2FVwWvQbQ%3D', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500384123378&sk=6065D28083473231C78F3884E226D7DC&ufi=5149021463830122&token=cloud16&sig=%2Ft4XR2bIKQaYoLeVsmiWn7m%2Bt8k%3D', '百度网盘': 'http://pan.baidu.com/s/1qXCcMGc'}"
16936,《当代畅销书作家精品小说美文集（精装10册）》,百度网盘密码：ldqw     天翼云盘密码：7127,"{'百度网盘密码': 'ldqw', '天翼云盘密码': '7127'}","{'天翼云盘(推荐)': 'http://cloud.189.cn/t/NNZj2mBRJr2u', '城通网盘(备份)': 'https://page71.ctfile.com/dir/11851471-23818837-ba7376/', '百度网盘': 'http://pan.baidu.com/s/1ctTGVc'}"
16959,《弗兰克尔自传：活出生命的意义》,百度网盘密码：6nf3     天翼云盘密码：6183,"{'百度网盘密码': '6nf3', '天翼云盘密码': '6183'}","{'天翼云盘(推荐)': 'http://cloud.189.cn/t/ua6BfiV7FjIj', '城通网盘(备份)': 'https://page71.ctfile.com/dir/11851471-23837025-ad7ac1/', '百度网盘': 'http://pan.baidu.com/s/1pLbSn7H'}"
16970,《热门书籍大合集（合集6套共27册）》,百度网盘密码：8g7e     天翼云盘密码：4926,"{'百度网盘密码': '8g7e', '天翼云盘密码': '4926'}","{'天翼云盘(推荐)': 'http://cloud.189.cn/t/6nQrAjIRfUvi', '城通网盘(备份)': 'https://page71.ctfile.com/dir/11851471-23845434-545dd1/', '百度网盘': 'http://pan.baidu.com/s/1dF1VjkX'}"
15120,《埃勒里·奎因悲剧系列(套装共4册)》,百度网盘密码：rph5     ,{'百度网盘密码': 'rph5'},"{'城通网盘(备份)': 'https://page71.ctfile.com/dir/11851471-22946361-e76b16/', 'AZW3格式(推荐)': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500032351229&sk=4650ECCB3BBC9AEC9B9FBD08FAFC6D78&ufi=3130321585642623&token=cloud4&sig=K2hAGIF1v2i%2F4KXBm2kZfht4OaQ%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500032351212&sk=6065D28083473231C78F3884E226D7DC&ufi=5145951594574715&token=cloud16&sig=TRfF9va0dIQdYB5QnuoLIBjyQO0%3D', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500032351220&sk=4650ECCB3BBC9AEC9B9FBD08FAFC6D78&ufi=3149821585740920&token=cloud4&sig=KEhZHC3Hw46SJ3sGl85MTnHgWnI%3D', '百度网盘': 'http://pan.baidu.com/s/1boOH1gV'}"
13804,《卡波蒂短篇小说全集》,百度网盘密码：mgzb     ,{'百度网盘密码': 'mgzb'},"{'城通网盘(备份)': 'https://page71.ctfile.com/dir/11851471-22946610-792856/', 'AZW3格式(推荐)': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500378010765&sk=FD5D0BEDAB27BACAC203D383E577659E&ufi=2151651532873505&token=cloud3&sig=vxXkfpNN7eqZAW%2FPpNH%2Bif7KILw%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500378010750&sk=98A6737B325C52C84D55218BF66D57AA&ufi=5149021536277648&token=cloud15&sig=LHeNCwzYIFUpuKbCQOkGyBjaryc%3D', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500378010757&sk=4650ECCB3BBC9AEC9B9FBD08FAFC6D78&ufi=2151651532873515&token=cloud4&sig=v7zuUGWCZ%2Bgn1g%2FPSLpwa8QJXO8%3D', '百度网盘': 'http://pan.baidu.com/s/1c2OotsW'}"
13453,《采珠勿惊龙：鬼雨法螺（精制）》,百度网盘密码：0syo     ,{'百度网盘密码': '0syo'},"{'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499777966379&sk=FD5D0BEDAB27BACAC203D383E577659E&ufi=5149121523284555&token=cloud3&sig=njsniFKV9i0ErCufmgMpW9MzHoE%3D', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499777966387&sk=4650ECCB3BBC9AEC9B9FBD08FAFC6D78&ufi=5130321522827550&token=cloud4&sig=R0lLQGAlqAB9ItujKjA9SES8%2F%2FM%3D', '百度网盘': 'http://pan.baidu.com/s/1sl12QgX'}"
14570,《小说面面观》,百度网盘密码：dod3     ,{'百度网盘密码': 'dod3'},"{'城通网盘(备份)': 'https://page71.ctfile.com/dir/11851471-22946028-23360a/', 'AZW3格式(推荐)': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499099573588&sk=4650ECCB3BBC9AEC9B9FBD08FAFC6D78&ufi=8151211570395966&token=cloud4&sig=n5oElY%2FHxoJh0smYgsq3h8QB4%2FM%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499099573578&sk=FD5D0BEDAB27BACAC203D383E577659E&ufi=1151221862668679&token=cloud3&sig=HF5scX5R2tm4wCNT3NIazQP41YY%3D', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499099573583&sk=98A6737B325C52C84D55218BF66D57AA&ufi=8151211570395975&token=cloud15&sig=CBq0H%2BuNFojB7yOI%2Fb4WeEw2SbQ%3D', '百度网盘': 'http://pan.baidu.com/s/1skUZTJB'}"
10993,《祖国》,百度网盘密码：q2ds     ,{'百度网盘密码': 'q2ds'},"{'AZW3格式(推荐)': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499859913998&sk=4650ECCB3BBC9AEC9B9FBD08FAFC6D78&ufi=5149721390203514&token=cloud4&sig=ul%2B2qsOnDT5AvlHVF6loHsBRyQI%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499859913985&sk=4650ECCB3BBC9AEC9B9FBD08FAFC6D78&ufi=5149721390203552&token=cloud4&sig=fuMyYfI2N2IXtQ4Y3yobkfeQtS8%3D', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499859913991&sk=24578ED11A6242943B095C80BF002EEF&ufi=5149721390203524&token=cloud14&sig=Mmmi8oMiUR6OW%2FhuRa8qaRmki38%3D', '百度网盘': 'http://pan.baidu.com/s/1qYFEPA0'}"
14008,《银弦：谁名杰克》,百度网盘密码：igfr     ,{'百度网盘密码': 'igfr'},"{'城通网盘(备份)': 'https://page71.ctfile.com/dir/11851471-22946883-f1b3dc/', 'AZW3格式(推荐)': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498242689519&sk=98A6737B325C52C84D55218BF66D57AA&ufi=7149121544940321&token=cloud15&sig=YcwJWs6FnhcL0cIBFd019BhDhw0%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498242689502&sk=4650ECCB3BBC9AEC9B9FBD08FAFC6D78&ufi=2154321546140304&token=cloud4&sig=IM2Ot5S44JkfKwflGHx8bA64sTg%3D', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498242689510&sk=98A6737B325C52C84D55218BF66D57AA&ufi=2154321546140284&token=cloud15&sig=vFo4IJgECu6brgRvKItj2b6R0aE%3D', '百度网盘': 'http://pan.baidu.com/s/1dENWt9Z'}"
10945,《弗洛伊德心理学经典著作(套装共5册) 》,百度网盘密码：v0c9     ,{'百度网盘密码': 'v0c9'},"{'AZW3格式(推荐)': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499860970959&sk=6065D28083473231C78F3884E226D7DC&ufi=7154321384314933&token=cloud16&sig=uWFkC7wTFVSibtZ2aD%2F0BGvJFBY%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499860970967&sk=FD5D0BEDAB27BACAC203D383E577659E&ufi=1130521681636169&token=cloud3&sig=rMs5BfJMzW6pnVosJf0vNGob8ZQ%3D', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499860970974&sk=6065D28083473231C78F3884E226D7DC&ufi=1130521681636147&token=cloud16&sig=fw8wh%2BoPNCuxfvb%2Bt3iq8cRzgUs%3D', '百度网盘': 'http://pan.baidu.com/s/1jHIYAuq'}"
13166,《晚清最后十八年（套装共3册）》,百度网盘密码：mpgx     ,{'百度网盘密码': 'mpgx'},"{'AZW3格式(推荐)': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499310614359&sk=98A6737B325C52C84D55218BF66D57AA&ufi=2149821506230299&token=cloud15&sig=NpFYos8oIIrB%2BDPGAa8hbl6Lj5o%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499310614367&sk=24578ED11A6242943B095C80BF002EEF&ufi=8135951507604389&token=cloud14&sig=tC4eoH0X2Tc0Nb064kjN%2BfK6Mwg%3D', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499310614373&sk=4650ECCB3BBC9AEC9B9FBD08FAFC6D78&ufi=8149021507849830&token=cloud4&sig=XMLckk3qPoi6SIz3Fzmn4rg7mww%3D', '百度网盘': 'http://pan.baidu.com/s/1dFuz1yp'}"
13321,《明帝国边防史:从土木堡之变到大凌河血战》,百度网盘密码：djw7     ,{'百度网盘密码': 'djw7'},"{'AZW3格式(推荐)': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499592763058&sk=4650ECCB3BBC9AEC9B9FBD08FAFC6D78&ufi=3149121512041248&token=cloud4&sig=J3hOg%2BaoXxXpTNp9Guvbkb9qnag%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499592763041&sk=4650ECCB3BBC9AEC9B9FBD08FAFC6D78&ufi=6147111495713368&token=cloud4&sig=wTFyBwqTuroOyDYuLNlS18wg4Vw%3D', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499592763050&sk=6065D28083473231C78F3884E226D7DC&ufi=1154321810453136&token=cloud16&sig=E%2F7EGowcIPkqCOycqQc1i%2FcJJSg%3D', '百度网盘': 'http://pan.baidu.com/s/1o7Mrw6m'}"
11864,《士为知己（全二册）》,百度网盘密码：rgzs     ,{'百度网盘密码': 'rgzs'},"{'AZW3格式(推荐)': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499950497606&sk=98A6737B325C52C84D55218BF66D57AA&ufi=6149021413639562&token=cloud15&sig=Aj3LWRlpMUM3eVIRKY035gspwng%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499950497600&sk=24578ED11A6242943B095C80BF002EEF&ufi=6149021413639782&token=cloud14&sig=ziH54vwynhNFjwR4FFdKPKCTmNE%3D', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499950497612&sk=6065D28083473231C78F3884E226D7DC&ufi=2149121430778417&token=cloud16&sig=W%2BGbOpY%2F5lhoF5FJV7G4n1HfuYE%3D', '百度网盘': 'http://pan.baidu.com/s/1hrS72QS'}"
12722,《凯南日记:用一百年和美国告别》,百度网盘密码：tj7b     ,{'百度网盘密码': 'tj7b'},"{'AZW3格式(推荐)': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498467010293&sk=6065D28083473231C78F3884E226D7DC&ufi=5152221486992547&token=cloud16&sig=VJ%2BfZN37x6vms6%2FH%2BO8178Y3h%2FA%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498467010299&sk=FD5D0BEDAB27BACAC203D383E577659E&ufi=4149821477873645&token=cloud3&sig=gBv5U%2B43aoZWiTqUBf1sxFB0nI0%3D', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498467010315&sk=FD5D0BEDAB27BACAC203D383E577659E&ufi=5152221486992357&token=cloud3&sig=WXuQw1xt3sfAwOi%2BMdknvpFa4sk%3D', '百度网盘': 'http://pan.baidu.com/s/1jIG92wI'}"
11178,《名人家风丛书(套装共10册)》,百度网盘密码：sn9f     ,{'百度网盘密码': 'sn9f'},"{'AZW3格式(推荐)': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499019510286&sk=4650ECCB3BBC9AEC9B9FBD08FAFC6D78&ufi=7130531403291369&token=cloud4&sig=W8ahVPAws4T2aRdt32lw6wrNP7s%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499019510272&sk=4650ECCB3BBC9AEC9B9FBD08FAFC6D78&ufi=3147111403088820&token=cloud4&sig=i1AuyJjH%2FGPTwbLwQvLc9FetQXw%3D', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499019510279&sk=24578ED11A6242943B095C80BF002EEF&ufi=3130521402948794&token=cloud14&sig=jkIEfPCiwcyT%2B1Y6LDWdNp5DXvA%3D', '百度网盘': 'http://pan.baidu.com/s/1jIiH7KE'}"
11920,《所谓情商高，就是会说话》,百度网盘密码：mkgh     ,{'百度网盘密码': 'mkgh'},"{'AZW3格式(推荐)': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499951077961&sk=FD5D0BEDAB27BACAC203D383E577659E&ufi=1149821731254053&token=cloud3&sig=OPXyAuUdcQkDgWQ68lTnPKIFUj8%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499951077967&sk=4650ECCB3BBC9AEC9B9FBD08FAFC6D78&ufi=9149121430923065&token=cloud4&sig=EyvNc3KQarW6hV0A7rEyDHR26TY%3D', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499951077974&sk=24578ED11A6242943B095C80BF002EEF&ufi=1149821731252091&token=cloud14&sig=KwpyGkYM1B1CC0sHZV2QjWt29lw%3D', '百度网盘': 'http://pan.baidu.com/s/1dF3Rslj'}"
13576,《建元与改元:西汉新莽年号研究》,百度网盘密码：prhv     ,{'百度网盘密码': 'prhv'},"{'AZW3格式(推荐)': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500036158232&sk=24578ED11A6242943B095C80BF002EEF&ufi=9139411522302937&token=cloud14&sig=sCy6cP1xkaEhrk7pNqm0Q9pdQQw%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500036158213&sk=98A6737B325C52C84D55218BF66D57AA&ufi=9139411522303160&token=cloud15&sig=H99fi8HtKCGu2Wc8QFz5THl8Q0I%3D', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500036158223&sk=24578ED11A6242943B095C80BF002EEF&ufi=7149121523430697&token=cloud14&sig=wQfJF8sUJswBoTpNQnTsD%2BIoasw%3D', '百度网盘': 'http://pan.baidu.com/s/1pKAeurp'}"
14154,《柳如是别传（全三册）》,百度网盘密码：6p7i     ,{'百度网盘密码': '6p7i'},"{'城通网盘(备份)': 'https://page71.ctfile.com/dir/11851471-22946925-aa692c/', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498537398562&sk=FD5D0BEDAB27BACAC203D383E577659E&ufi=2145951553649193&token=cloud3&sig=Fqo5E8U8A%2Bve9IoXdeMUM67Mq2Q%3D', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498537398569&sk=4650ECCB3BBC9AEC9B9FBD08FAFC6D78&ufi=2145951553648998&token=cloud4&sig=j9r%2BEpaQHLyi7HppVNweFMO5lPU%3D', '百度网盘': 'http://pan.baidu.com/s/1nuIq8ml'}"
13669,《春秋战国那点事儿》,百度网盘密码：5bgx     ,{'百度网盘密码': '5bgx'},"{'AZW3格式(推荐)': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500193934939&sk=FD5D0BEDAB27BACAC203D383E577659E&ufi=9130321526362060&token=cloud3&sig=qMaOCmAa7608%2FHQYWOlHvrSBOAQ%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500193934928&sk=4650ECCB3BBC9AEC9B9FBD08FAFC6D78&ufi=7130311527590064&token=cloud4&sig=Zbf99SQ1mnC7P2WE8jEtrAw6FRI%3D', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500193934934&sk=98A6737B325C52C84D55218BF66D57AA&ufi=8149821531979690&token=cloud15&sig=yHDP3egt8xqZICVURAkiuMRNNvs%3D', '百度网盘': 'http://pan.baidu.com/s/1dFlC73V'}"
17181,《死人经（精制多看版）》,百度网盘密码：976l     天翼云盘密码：5750,"{'百度网盘密码': '976l', '天翼云盘密码': '5750'}","{'天翼云盘(推荐)': 'http://cloud.189.cn/t/qEZfmiFFr2Er', '城通网盘(备份)': 'https://page71.ctfile.com/dir/11851471-23897409-b9df05/', '百度网盘': 'http://pan.baidu.com/s/1c15fh08'}"
15681,《分裂的帝国：南北朝（哈佛中国史02）》,百度网盘密码：z3vm     天翼云盘密码：0138,"{'百度网盘密码': 'z3vm', '天翼云盘密码': '0138'}","{'天翼云盘(推荐)': 'http://cloud.189.cn/t/URnayqYrq632', '城通网盘(备份)': 'https://page71.ctfile.com/dir/11851471-23025871-5c24b6/', '百度网盘': 'http://pan.baidu.com/s/1gf5Tqkb'}"
12453,《我的阿勒泰》,百度网盘密码：q2vz     天翼云盘密码：8202,"{'百度网盘密码': 'q2vz', '天翼云盘密码': '8202'}","{'天翼云盘(推荐)': 'http://cloud.189.cn/t/I7ZFNrRF7Z7r', 'AZW3格式(推荐)': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1497814086699&sk=98A6737B325C52C84D55218BF66D57AA&ufi=2149021463025499&token=cloud15&sig=%2BYiYEIDYNATNgFbgi28mFAUrryQ%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1497814086686&sk=98A6737B325C52C84D55218BF66D57AA&ufi=9149121461352239&token=cloud15&sig=Tx59oN8yumSTGQliaWpnFlfy0%2BE%3D', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1497814086708&sk=24578ED11A6242943B095C80BF002EEF&ufi=7149821462584837&token=cloud14&sig=83d1vrFHxMbTNssxXN7kD%2FY%2F9EU%3D', '百度网盘': 'http://pan.baidu.com/s/1slk6JGL'}"
15985,《论历史》,百度网盘密码：1i7v     天翼云盘密码：8236,"{'百度网盘密码': '1i7v', '天翼云盘密码': '8236'}","{'天翼云盘(推荐)': 'http://cloud.189.cn/t/reey2qQNfmEn', '城通网盘(备份)': 'https://page71.ctfile.com/dir/11851471-23246151-f49616/', '百度网盘': 'http://pan.baidu.com/s/1mhQ1NMo'}"
16346,《美铁之战03：铁大师（Iron Master）》,百度网盘密码：tced     天翼云盘密码：0289,"{'百度网盘密码': 'tced', '天翼云盘密码': '0289'}","{'天翼云盘(推荐)': 'http://cloud.189.cn/t/2YzQrmQnAVRr', '城通网盘(备份)': 'https://page71.ctfile.com/dir/11851471-23435739-a23115/', '百度网盘': 'http://pan.baidu.com/s/1dFclVbj'}"
14251,《变革中国:市场经济的中国之路》,百度网盘密码：orun     ,{'百度网盘密码': 'orun'},"{'城通网盘(备份)': 'https://page71.ctfile.com/dir/11851471-22946955-ed8c95/', 'AZW3格式(推荐)': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498720363659&sk=FD5D0BEDAB27BACAC203D383E577659E&ufi=8145921560837491&token=cloud3&sig=sIJ1ctcXeCNayT8eL%2BxpIp25cuA%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498720363644&sk=6065D28083473231C78F3884E226D7DC&ufi=9149021556252610&token=cloud16&sig=MUeUxtf1JUM7VBRZAqurXnkI9DM%3D', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498720363653&sk=6065D28083473231C78F3884E226D7DC&ufi=8145921560837594&token=cloud16&sig=3%2BtU6wt0s8a%2FvKqTjsut42TT0JQ%3D', '百度网盘': 'http://pan.baidu.com/s/1c1JUVYS'}"
15609,《居里夫人传》,百度网盘密码：dr57     ,{'百度网盘密码': 'dr57'},"{'城通网盘(备份)': 'https://page71.ctfile.com/dir/11851471-22989090-1895c8/', '百度网盘': 'http://pan.baidu.com/s/1mh6iEa0'}"
